author_name,author_id,doc_id,title,year,source,citations,authors,doi,doc_type,department,
Abdulkareem Alzahrani,56242611500,85195014256,Advanced CKD detection through optimized metaheuristic modeling in healthcare informatics,2024,Scientific Reports,8,Bilal A.,10.1038/s41598-024-63292-5,Article,Computer Scinece,
Abdulkareem Alzahrani,56242611500,85211016199,A Novel Outlier-Robust Accuracy Measure for Machine Learning Regression Using a Non-Convex Distance Metric,2024,Mathematics,0,Hassanat A.B.,10.3390/math12223623,Article,Computer Scinece,
Abdulkareem Alzahrani,56242611500,85213356836,Arabic Pronunciation Assessment for Saudi Arabian Students: Corpus Development and System Architecture,2024,Lecture Notes in Networks and Systems,0,Al-Khatib W.G.,10.1007/978-3-031-71429-0_3,Conference Paper,Computer Scinece,
Abdulkareem Alzahrani,56242611500,85191086721,DeepSVDNet: A Deep Learning-Based Approach for Detecting and Classifying Vision-Threatening Diabetic Retinopathy in Retinal Fundus Images,2024,Computer Systems Science and Engineering,7,Bilal A.,10.32604/csse.2023.039672,Article,Computer Scinece,
Abdulkareem Alzahrani,56242611500,85181528081,Improved Support Vector Machine based on CNN-SVD for vision-threatening diabetic retinopathy detection and classification,2024,PLoS ONE,50,Bilal A.,10.1371/journal.pone.0295951,Article,Computer Scinece,
Abdulkareem Alzahrani,56242611500,85208914333,Exploration and Analysis of Seizure Spikes Through Spectral Domain Transformation,2023,"Smart Innovation, Systems and Technologies",0,Najmusseher ,10.1007/978-981-97-3980-6_9,Conference Paper,Computer Scinece,
Abdulkareem Alzahrani,56242611500,85208137430,Sentiment Analysis of Movie Reviews Using Improved Word2Vec and CNN,2023,"Proceedings of 2023 20th International Bhurban Conference on Applied Sciences and Technology, IBCAST 2023",0,Imran A.,10.1109/IBCAST59916.2023.10712797,Conference Paper,Computer Scinece,
Abdulkareem Alzahrani,56242611500,85189928188,A Transfer Learning Based Detection and Grading of Cataract using Fundus Images,2023,"2023 25th International Multi Topic Conference, INMIC 2023 - Proceedings",0,Abbas A.,10.1109/INMIC60434.2023.10465934,Conference Paper,Computer Scinece,
Abdulkareem Alzahrani,56242611500,85173201852,Harnessing Machine Learning for Arabic COVID-19 Omicron News Classification: A Comparative Study,2023,International Journal of Advances in Soft Computing and its Applications,1,Alzahrani A.,10.15849/IJASCA.230720.10,Article,Computer Scinece,
Abdulkareem Alzahrani,56242611500,85162180501,A Comparative Study for SDN Security Based on Machine Learning,2023,International Journal of Interactive Mobile Technologies,4,Alheeti K.M.A.,10.3991/ijim.v17i11.39065,Article,Computer Scinece,
Abdulkareem Alzahrani,56242611500,85162123468,Cloud Intrusion Detection System Based on SVM,2023,International Journal of Interactive Mobile Technologies,3,Alheeti K.M.A.,10.3991/ijim.v17i11.39063,Article,Computer Scinece,
